0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
-0.3022474,1.1687543,1.2818978,-0.53026044,-0.6983246,-0.81008935,-1.0646256,-0.41499063,0.43142217,2.106674,-0.051395737,-1.4471753,-1.0772171,-0.39241156,0.8990744,-0.33055058,0.83027625,2.2381134,-0.5579375,-1.3615361,-1.232109,-1.0121896,-0.59643626,-0.40774772,-1.0819485,-0.98222214,-1.5135186,0.75455505,1.4291708,0.97233415,0.5339726,0.68901104,-0.8117021,-0.65461296,-0.55011797,-0.31949297,-0.22008035,-0.4700763,-1.1418862,-1.4156075,-1.1428429,1.543499,2.5890965,1.1676368,0.21984692,-0.5371568,-0.058433898,1.5146079,1.2940469,-1.3408655,-1.1631508,-0.48381275,0.7185967,-0.42631456,-0.9626924,1.44555,-0.96488786,-0.9233726,0.30521002,1.2694045
-0.52211004,0.33162117,1.763003,0.3614171,-0.6954762,-1.1419662,-1.0054108,-0.41499063,-0.524744,-0.06317642,0.91619897,1.0473078,-0.18165687,-0.35725114,-0.7757653,-0.45550787,1.5598907,1.7358606,-1.3467516,-1.3900669,-1.0977247,-1.0121896,-0.51797503,-0.44793642,-0.84536994,-0.35653773,-1.641653,0.2941971,0.056567308,1.1987057,-1.3276583,2.3636272,-0.7444293,-0.4274057,-0.31815127,-0.3080893,-0.2949376,-0.4553665,-1.0501662,-1.2689257,-1.6263859,-0.9578775,0.1919009,3.3049147,4.011331,-0.5278419,-0.37348944,-0.10449248,0.86853224,1.0843284,-0.23840795,-0.44168538,-0.8776653,-0.5489144,0.08115863,2.375743,-0.54136616,-0.7528717,1.5880305,0.20303886
4.214496,0.069488585,-0.8682266,-1.2493552,-0.74390036,0.04836549,0.7879515,-0.55755836,4.1700315,0.06446184,-0.47610334,-1.0010391,-1.0957094,-0.07277139,0.32129124,-0.5341847,1.6978694,-0.02332566,-0.36285445,-0.80043304,-0.6566684,-0.68779737,-0.26297593,-0.57352614,-1.2650837,-1.3896855,-1.3001364,2.3445418,2.0862172,1.3488351,-0.5844704,1.3046787,-1.1256417,-0.65461296,-0.6214924,-0.28528196,0.7281117,4.9578414,-0.8769175,0.105419606,1.1081334,0.4909832,0.4737029,0.48611867,-0.75637406,-0.5371568,5.4223437,0.30182168,-0.45432612,-1.0299431,-1.2061621,-0.22503033,0.39795017,-0.5534551,0.8295169,0.20083208,-1.5803561,2.072881,-0.29320434,2.3967512
-0.5938044,1.3519652,2.0332534,-1.004863,-0.87493056,-1.2127666,-0.946196,-0.3437068,0.2927781,2.8860822,0.87557477,-1.3463098,-1.2489321,-1.0221027,-0.9878629,-0.3999713,0.6024024,2.3812425,-0.44343224,-1.4154274,-1.232109,-0.9298043,-0.5277827,-0.30225235,-1.1903592,-1.7764469,-1.3816705,0.7487512,1.4110105,0.9501243,1.7842125,-0.39456403,-1.1648841,-0.65141284,-0.4490043,-0.3080893,-0.34484246,-0.4553665,-0.9971725,-1.3167567,-0.8468812,3.8334916,2.0668237,-0.38548273,-0.85991263,-0.5371568,-0.421045,1.7116088,2.414279,-0.8550494,-1.2948729,-1.0645686,-1.079812,-0.49442557,-1.730341,0.7870391,-1.5883445,-1.2275674,-0.42944393,1.1177771
-0.1779772,2.5329711,1.0235265,-1.7383398,-1.3477788,-0.5180377,-0.48939618,-0.3793487,1.4306158,3.1223488,-0.2766754,-1.7226158,-1.5659446,-1.1084055,0.21158558,-0.089892134,2.0344536,1.5745151,-1.647858,-1.6024618,-1.2562292,-0.9555497,-0.24336062,-0.5484082,-1.4073058,-1.7763146,-1.8091654,1.300409,1.936182,1.3462645,2.1338403,-0.72228867,-1.1732932,-0.65141284,-0.5025351,-0.31949297,-0.494557,-0.4406567,-1.0807396,-1.4761934,-1.2720656,0.4117142,3.4232306,1.6405269,-0.011882303,-0.5371568,0.09017721,3.0044265,1.3345721,-1.624582,-1.6658453,-1.1608597,0.03548021,-0.15387055,-1.7006637,1.5403283,-1.664289,-1.3623352,0.41602567,1.7209626
-0.6129229,-0.37867358,2.7400622,0.65265054,-1.0145062,-1.274717,-0.9969516,-0.4048072,-0.31916824,1.8513975,2.2937288,-0.7954285,-1.1670372,-1.0380846,-1.2072742,-0.4601359,-0.6456774,3.0968876,0.8882216,-1.4090873,-1.1459651,-0.9246552,-0.802397,-0.26206365,-0.8170142,-1.5180169,-1.052896,0.076336294,0.983205,0.38749635,2.1777725,-0.84352785,-1.1200356,-0.65461296,-0.3657342,-0.31949297,-0.494557,-0.4553665,-1.0318222,-1.2306608,1.833448,3.3182433,0.34971002,-0.6404725,-0.97824246,-0.5371568,-0.4448228,-0.10449248,3.0250518,0.67624295,-1.1873446,-1.0886414,-1.2889293,-0.5534551,-1.9266663,0.32493478,-1.2353264,-1.2669888,-0.9255771,0.55462426
4.4869347,0.61912143,-0.59500635,-1.6412619,-0.87493056,-0.36758685,-0.11718889,-0.49645787,3.629798,0.7243788,-0.23974432,-1.2182881,-1.3440359,-0.43396476,0.47487915,-0.3120384,2.2330594,0.13801983,-0.7996709,-1.1523113,-0.95300305,-0.7753318,-0.5081673,-0.45296,-1.7510692,-1.4723532,-1.6244527,2.4129243,2.0694182,1.549864,-1.351455,1.5831499,0.3823897,-0.6002112,-0.34194273,-0.011593734,0.079348706,0.13302566,-0.8035415,-0.9309196,-0.28830558,0.37648356,1.1049393,1.9094251,0.10644751,-0.5371568,4.756566,1.0651999,-0.23433216,-1.2398157,-1.415842,-0.5259401,0.31430328,-0.40815163,0.38583744,1.0112522,-1.730915,-0.0380905,0.5736696,2.3692381
-0.6129229,-0.96776724,-0.33663502,-0.077230714,1.1446439,0.88469523,-0.12564816,0.09927144,-0.63948387,-0.74481905,0.18496327,0.81454116,0.56596416,0.067870274,-0.54904026,-0.057495803,-0.41780353,-0.4969527,-0.5749012,-0.2805409,0.84567934,1.6601847,0.21759921,0.12475265,0.8844489,0.36067685,0.8102586,-1.1236906,-0.5547486,-0.33503255,-0.28243583,-0.16534622,-0.8733688,-0.35700342,1.1390756,2.9989767,1.1772553,2.3983355,1.4649985,-0.43347678,-0.5092347,-0.7332821,-0.6009021,-0.4272083,-0.06118639,-0.27634078,-0.4448228,-0.76629204,-0.21696422,0.45859733,0.78848666,0.23536162,-0.4942836,-0.090300284,1.630664,-0.8903795,0.41168287,2.3746982,0.17769475,-0.60200673
-0.38828063,-0.07426154,0.92552364,1.06613,-0.31662792,-0.8764647,-0.946196,-0.4048072,-0.1422775,0.42565095,1.6068105,0.28305718,-0.56999713,-0.66410565,-0.8708435,-0.4277396,-0.12094034,0.5882258,1.1681234,-0.10935691,-0.64633113,-0.5590703,-0.2923989,-0.41779488,-0.52267283,-0.817095,-0.5299195,0.05340674,0.581641,0.24444553,0.65844744,-0.5309581,-0.2763229,-0.41460526,-0.56201375,-0.3080893,0.0044914433,3.9722846,-0.61398697,1.7826948,0.39949274,-0.25326443,-0.6009021,-0.58020216,-0.4013846,0.65514493,-0.18326722,0.14175853,1.0422117,0.89388853,-0.36744183,-0.6643586,-0.9404005,-0.5125885,0.25683346,-0.22802305,-0.7522712,2.0904937,-0.09505389,0.46019608
-0.560347,-0.29975194,-0.07826374,-0.030489549,-0.026082639,0.03066539,0.9232997,0.7713763,0.80910784,-0.19624609,0.29944965,0.38780218,-0.6624591,-0.8015509,0.7235453,0.57654667,0.5794059,-0.32780018,-0.9353808,-0.51195633,-0.41546577,0.069117896,1.7868243,0.7828427,0.6477821,-0.1609663,0.28333983,-0.13188879,0.9511285,1.1238036,0.09464969,-0.40782455,-0.629505,-0.22899933,1.2342415,-0.057208437,-0.12027066,3.854606,0.704742,-0.5674037,-0.9427561,-1.023935,-0.46939445,0.068862684,1.6398046,0.63651526,-0.3794339,-0.070632964,-0.19670162,0.6879025,0.008906979,-0.74259514,0.46765596,0.6997873,1.1059139,0.2279993,0.24682604,2.3289623,1.5781155,0.21363392
