epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr
1,1.7581197198026368,0.676126878130217,0.4227683508396149,0.82,0.8114173961631589,0.001
2,0.2810695365892229,0.8714524207011686,0.3666784069935481,0.8766666666666667,0.8720475844658852,0.001
3,0.1704598508016494,0.9315525876460768,0.18417874733606973,0.9233333333333333,0.9218741154225025,0.001
4,0.1394199977733058,0.9382303839732888,0.172535324494044,0.9233333333333333,0.9223943044167764,0.001
5,0.1136304521202444,0.9532554257095158,0.1775868202994267,0.9366666666666666,0.934118517319895,0.001
6,0.11680089098981307,0.9532554257095158,0.1356551709026098,0.96,0.9590369122934778,0.001
7,0.07422962163470823,0.9732888146911519,0.17165565010160208,0.9166666666666666,0.9161739558069095,0.001
8,0.07144101937993341,0.9749582637729549,0.1339849797155087,0.9533333333333334,0.9526515151515151,0.001
9,0.06794356704007007,0.9782971619365609,0.16651915327024958,0.93,0.9292444883702646,0.0005
10,0.050048683815090006,0.9849749582637729,0.09573991363247236,0.9666666666666667,0.9657909140667762,0.0005
11,0.03726922294345742,0.986644407345576,0.0900480716302991,0.9733333333333334,0.9728506787330317,0.0005
12,0.023667732113739088,0.996661101836394,0.07171969996144374,0.99,0.989769820971867,0.0005
13,0.0211341948666686,0.996661101836394,0.07560769057522218,0.9766666666666667,0.9762225568677182,0.0005
14,0.00920167209608527,1.0,0.07567594764133294,0.98,0.9795603197674418,0.0005
15,0.012288781207129484,1.0,0.06427839710066716,0.9866666666666667,0.9863735465116279,0.00025
16,0.01201906171510733,0.996661101836394,0.06463271068253865,0.9833333333333333,0.9829837438032467,0.00025
17,0.012435705203544317,0.994991652754591,0.07086805507540703,0.9833333333333333,0.9829837438032467,0.00025
18,0.008275950969160319,0.998330550918197,0.07679472544540962,0.98,0.9795603197674418,0.000125
19,0.005852272795654759,1.0,0.07527130749076605,0.9833333333333333,0.9829497016197783,0.000125
20,0.007140460990823903,0.998330550918197,0.07572623192022244,0.9833333333333333,0.9829497016197783,0.000125
